#run_name            mass#9900012         mass#9900035         mass#9900036         mass#9900037         cross                error                
run_137              2.700000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.695637e-12         1.260625e-15         
run_138              2.700000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.036627e-13         8.066101e-17         
run_139              2.700000e+01         1.000000e+03         1.000000e+03         1.000000e+03         6.444811e-15         3.749000e-18         
run_140              2.700000e+01         1.000000e+04         1.000000e+04         1.000000e+04         6.429900e-19         4.804200e-22         
run_141              2.800000e+01         1.000000e+02         1.000000e+02         1.000000e+02         5.584550e-11         4.575633e-14         
run_142              2.800000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.143087e-12         6.901892e-16         
run_143              2.800000e+01         5.000000e+02         5.000000e+02         5.000000e+02         7.000979e-14         5.003801e-17         
run_144              2.800000e+01         1.000000e+03         1.000000e+03         1.000000e+03         4.354607e-15         3.250000e-18         
run_145              2.800000e+01         1.000000e+04         1.000000e+04         1.000000e+04         4.349500e-19         3.402500e-22         
run_146              2.900000e+01         1.000000e+02         1.000000e+02         1.000000e+02         3.645285e-11         2.543351e-14         
run_147              2.900000e+01         2.500000e+02         2.500000e+02         2.500000e+02         7.519499e-13         5.435503e-16         
run_148              2.900000e+01         5.000000e+02         5.000000e+02         5.000000e+02         4.603316e-14         3.245600e-17         
run_149              2.900000e+01         1.000000e+03         1.000000e+03         1.000000e+03         2.866404e-15         1.808400e-18         
run_150              2.900000e+01         1.000000e+04         1.000000e+04         1.000000e+04         2.859000e-19         1.764300e-22         
run_151              3.000000e+01         1.000000e+02         1.000000e+02         1.000000e+02         2.310612e-11         1.551993e-14         
run_152              3.000000e+01         2.500000e+02         2.500000e+02         2.500000e+02         4.795990e-13         3.514957e-16         
run_153              3.000000e+01         5.000000e+02         5.000000e+02         5.000000e+02         2.941870e-14         2.146300e-17         
run_154              3.000000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.829903e-15         1.382000e-18         
run_155              3.000000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.828300e-19         1.191500e-22         
run_156              3.100000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.418203e-11         1.053915e-14         
run_157              3.100000e+01         2.500000e+02         2.500000e+02         2.500000e+02         2.958938e-13         2.189134e-16         
run_158              3.100000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.817643e-14         1.063300e-17         
run_159              3.100000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.130602e-15         7.731700e-19         
run_160              3.100000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.128700e-19         6.351000e-23         
run_161              3.200000e+01         1.000000e+02         1.000000e+02         1.000000e+02         8.351880e-12         6.505691e-15         
run_162              3.200000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.759742e-13         1.241319e-16         
run_163              3.200000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.080124e-14         7.438700e-18         
run_164              3.200000e+01         1.000000e+03         1.000000e+03         1.000000e+03         6.725609e-16         4.872500e-19         
run_165              3.200000e+01         1.000000e+04         1.000000e+04         1.000000e+04         6.717000e-20         4.698600e-23         
run_166              3.300000e+01         1.000000e+02         1.000000e+02         1.000000e+02         4.712041e-12         3.807902e-15         
run_167              3.300000e+01         2.500000e+02         2.500000e+02         2.500000e+02         9.984862e-14         7.131631e-17         
run_168              3.300000e+01         5.000000e+02         5.000000e+02         5.000000e+02         6.139730e-15         3.938200e-18         
run_169              3.300000e+01         1.000000e+03         1.000000e+03         1.000000e+03         3.827805e-16         2.921400e-19         
run_170              3.300000e+01         1.000000e+04         1.000000e+04         1.000000e+04         3.818700e-20         2.783800e-23         
run_171              3.400000e+01         1.000000e+02         1.000000e+02         1.000000e+02         2.515347e-12         1.653068e-15         
run_172              3.400000e+01         2.500000e+02         2.500000e+02         2.500000e+02         5.385779e-14         3.605849e-17         
run_173              3.400000e+01         5.000000e+02         5.000000e+02         5.000000e+02         3.313966e-15         2.310300e-18         
run_174              3.400000e+01         1.000000e+03         1.000000e+03         1.000000e+03         2.063203e-16         1.415500e-19         
run_175              3.400000e+01         1.000000e+04         1.000000e+04         1.000000e+04         2.058300e-20         1.244000e-23         
run_176              3.500000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.263747e-12         9.299527e-16         
run_177              3.500000e+01         2.500000e+02         2.500000e+02         2.500000e+02         2.721533e-14         1.615425e-17         
run_178              3.500000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.676831e-15         1.125400e-18         
run_179              3.500000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.045901e-16         7.023900e-20         
run_180              3.500000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.044500e-20         6.335000e-24         
run_181              3.600000e+01         1.000000e+02         1.000000e+02         1.000000e+02         5.871349e-13         3.694477e-16         
run_182              3.600000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.277568e-14         8.215687e-18         
run_183              3.600000e+01         5.000000e+02         5.000000e+02         5.000000e+02         7.875736e-16         4.299900e-19         
run_184              3.600000e+01         1.000000e+03         1.000000e+03         1.000000e+03         4.902605e-17         3.448600e-20         
run_185              3.600000e+01         1.000000e+04         1.000000e+04         1.000000e+04         4.902600e-21         3.131100e-24         
run_186              3.700000e+01         1.000000e+02         1.000000e+02         1.000000e+02         2.483255e-13         1.851582e-16         
run_187              3.700000e+01         2.500000e+02         2.500000e+02         2.500000e+02         5.441818e-15         2.738243e-18         
run_188              3.700000e+01         5.000000e+02         5.000000e+02         5.000000e+02         3.359553e-16         2.196400e-19         
run_189              3.700000e+01         1.000000e+03         1.000000e+03         1.000000e+03         2.090802e-17         1.333500e-20         
run_190              3.700000e+01         1.000000e+04         1.000000e+04         1.000000e+04         2.091200e-21         1.371600e-24         
run_191              3.800000e+01         1.000000e+02         1.000000e+02         1.000000e+02         9.258390e-14         5.988100e-17         
run_192              3.800000e+01         2.500000e+02         2.500000e+02         2.500000e+02         2.045888e-15         1.348412e-18         
run_193              3.800000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.265817e-16         7.363100e-20         
run_194              3.800000e+01         1.000000e+03         1.000000e+03         1.000000e+03         7.894607e-18         3.892600e-21         
run_195              3.800000e+01         1.000000e+04         1.000000e+04         1.000000e+04         7.892000e-22         4.991800e-25         
run_196              3.900000e+01         1.000000e+02         1.000000e+02         1.000000e+02         2.920376e-14         2.040601e-17         
run_197              3.900000e+01         2.500000e+02         2.500000e+02         2.500000e+02         6.525815e-16         3.103041e-19         
run_198              3.900000e+01         5.000000e+02         5.000000e+02         5.000000e+02         4.041348e-17         2.181900e-20         
run_199              3.900000e+01         1.000000e+03         1.000000e+03         1.000000e+03         2.518802e-18         1.616800e-21         
run_200              3.900000e+01         1.000000e+04         1.000000e+04         1.000000e+04         2.516700e-22         1.467300e-25         
run_201              4.000000e+01         1.000000e+02         1.000000e+02         1.000000e+02         7.286444e-15         5.138291e-18         
run_202              4.000000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.642074e-16         9.815549e-20         
run_203              4.000000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.016610e-17         5.847900e-21         
run_204              4.000000e+01         1.000000e+03         1.000000e+03         1.000000e+03         6.338304e-19         3.757700e-22         
run_205              4.000000e+01         1.000000e+04         1.000000e+04         1.000000e+04         6.347400e-23         3.824900e-26         
