#run_name            mass#9900012         mass#9900035         mass#9900036         mass#9900037         cross                error                
run_103              2.000000e+01         5.000000e+02         5.000000e+02         5.000000e+02         3.394298e-12         2.497303e-15         
run_104              2.000000e+01         1.000000e+03         1.000000e+03         1.000000e+03         2.109004e-13         1.641821e-16         
run_105              2.000000e+01         1.000000e+04         1.000000e+04         1.000000e+04         2.101700e-17         1.773771e-20         
run_106              2.100000e+01         1.000000e+02         1.000000e+02         1.000000e+02         2.167513e-09         1.495055e-12         
run_107              2.100000e+01         2.500000e+02         2.500000e+02         2.500000e+02         4.281921e-11         3.260651e-14         
run_108              2.100000e+01         5.000000e+02         5.000000e+02         5.000000e+02         2.609875e-12         2.135513e-15         
run_109              2.100000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.620153e-13         1.191553e-16         
run_110              2.100000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.617620e-17         1.227807e-20         
run_111              2.200000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.633254e-09         1.503761e-12         
run_112              2.200000e+01         2.500000e+02         2.500000e+02         2.500000e+02         3.248235e-11         2.616471e-14         
run_113              2.200000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.977376e-12         1.488568e-15         
run_114              2.200000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.230002e-13         8.146349e-17         
run_115              2.200000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.227210e-17         8.911125e-21         
run_116              2.300000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.216987e-09         7.880174e-13         
run_117              2.300000e+01         2.500000e+02         2.500000e+02         2.500000e+02         2.420729e-11         1.786459e-14         
run_118              2.300000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.477632e-12         9.563882e-16         
run_119              2.300000e+01         1.000000e+03         1.000000e+03         1.000000e+03         9.186816e-14         5.765630e-17         
run_120              2.300000e+01         1.000000e+04         1.000000e+04         1.000000e+04         9.174500e-18         7.024236e-21         
run_121              2.400000e+01         1.000000e+02         1.000000e+02         1.000000e+02         8.889760e-10         6.503784e-13         
run_122              2.400000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.780675e-11         1.238500e-14         
run_123              2.400000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.087060e-12         6.746167e-16         
run_124              2.400000e+01         1.000000e+03         1.000000e+03         1.000000e+03         6.759512e-14         4.796366e-17         
run_125              2.400000e+01         1.000000e+04         1.000000e+04         1.000000e+04         6.747000e-18         4.169677e-21         
run_126              2.500000e+01         1.000000e+02         1.000000e+02         1.000000e+02         6.388540e-10         4.949681e-13         
run_127              2.500000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.286170e-11         9.422723e-15         
run_128              2.500000e+01         5.000000e+02         5.000000e+02         5.000000e+02         7.865920e-13         5.190956e-16         
run_129              2.500000e+01         1.000000e+03         1.000000e+03         1.000000e+03         4.886408e-14         3.433939e-17         
run_130              2.500000e+01         1.000000e+04         1.000000e+04         1.000000e+04         4.875600e-18         3.783287e-21         
run_131              2.600000e+01         1.000000e+02         1.000000e+02         1.000000e+02         4.507828e-10         3.533370e-13         
run_132              2.600000e+01         2.500000e+02         2.500000e+02         2.500000e+02         9.134261e-12         6.150546e-15         
run_133              2.600000e+01         5.000000e+02         5.000000e+02         5.000000e+02         5.581453e-13         4.023563e-16         
